date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2013-05-26,X,2,0.0001303780964797914,0.05555555555555555,15340,36
2015-01-19,R,2,0.00022696323195642307,0.09523809523809523,8812,21
2017-05-26,B,2,0.00017362618282837052,0.07692307692307693,11519,26
2017-05-26,Q,2,0.00018700327255726976,0.07692307692307693,10695,26
2019-05-26,B,2,0.00017362618282837052,0.4,11519,5
2013-05-27,R,2,0.00022696323195642307,0.11764705882352941,8812,17
2014-05-27,B,2,0.00017362618282837052,0.05,11519,40
2016-01-20,M,2,6.948787436592315e-05,0.25,28782,8
2018-05-27,B,2,0.00017362618282837052,0.05405405405405406,11519,37
2014-05-28,R,2,0.00022696323195642307,0.05,8812,40
2018-05-28,X,2,0.0001303780964797914,0.1111111111111111,15340,18
2019-01-18,M,2,6.948787436592315e-05,0.5,28782,4
2018-01-18,R,2,0.00022696323195642307,0.16666666666666666,8812,12
2013-05-29,X,2,0.0001303780964797914,0.06666666666666667,15340,30
2015-01-19,X,2,0.0001303780964797914,0.09523809523809523,15340,21
2018-05-25,R,2,0.00022696323195642307,0.07692307692307693,8812,26
2016-01-19,M,2,6.948787436592315e-05,0.2,28782,10
2015-05-25,B,2,0.00017362618282837052,0.10526315789473684,11519,19
2017-01-19,R,2,0.00022696323195642307,0.16666666666666666,8812,12
2018-05-24,R,2,0.00022696323195642307,0.07407407407407407,8812,27
2018-05-24,B,2,0.00017362618282837052,0.07407407407407407,11519,27
2016-05-24,B,2,0.00017362618282837052,0.0392156862745098,11519,51
2013-05-24,X,2,0.0001303780964797914,0.07407407407407407,15340,27
2013-05-24,R,2,0.00022696323195642307,0.07407407407407407,8812,27
2018-05-23,Q,2,0.00018700327255726976,0.09523809523809523,10695,21
2014-01-20,X,2,0.0001303780964797914,0.1,15340,20
2016-05-23,B,2,0.00017362618282837052,0.1111111111111111,11519,18
2014-05-23,Q,2,0.00018700327255726976,0.07142857142857142,10695,28
2013-05-23,R,2,0.00022696323195642307,0.058823529411764705,8812,34
2015-01-20,X,2,0.0001303780964797914,0.15384615384615385,15340,13
2016-01-20,B,2,0.00017362618282837052,0.25,11519,8
2016-01-22,R,2,0.00022696323195642307,0.2,8812,10
2018-05-11,R,2,0.00022696323195642307,0.08,8812,25
2017-04-25,Q,2,0.00018700327255726976,0.09090909090909091,10695,22
2015-01-25,R,2,0.00022696323195642307,0.15384615384615385,8812,13
2014-04-30,R,2,0.00022696323195642307,0.08,8812,25
2017-01-25,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2017-01-25,M,2,6.948787436592315e-05,0.18181818181818182,28782,11
2016-01-25,R,2,0.00022696323195642307,0.5,8812,4
2015-05-01,B,2,0.00017362618282837052,0.06896551724137931,11519,29
2018-05-01,Q,2,0.00018700327255726976,0.08333333333333333,10695,24
2013-05-02,X,2,0.0001303780964797914,0.06666666666666667,15340,30
2017-05-03,B,2,0.00017362618282837052,0.06666666666666667,11519,30
2014-05-02,Q,2,0.00018700327255726976,0.058823529411764705,10695,34
2015-01-25,M,2,6.948787436592315e-05,0.15384615384615385,28782,13
2013-01-25,X,2,0.0001303780964797914,0.2857142857142857,15340,7
2013-05-03,R,2,0.00022696323195642307,0.08,8812,25
2013-05-03,X,2,0.0001303780964797914,0.08,15340,25
2015-05-03,R,2,0.00022696323195642307,0.044444444444444446,8812,45
2013-04-30,X,2,0.0001303780964797914,0.1111111111111111,15340,18
2019-01-25,M,2,6.948787436592315e-05,0.5,28782,4
2015-04-29,R,2,0.00022696323195642307,0.11764705882352941,8812,17
2013-04-29,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2013-01-26,B,2,0.00017362618282837052,0.10526315789473684,11519,19
2019-04-28,B,2,0.00017362618282837052,0.4,11519,5
2013-01-26,Q,2,0.00018700327255726976,0.10526315789473684,10695,19
2014-01-26,B,2,0.00017362618282837052,0.1111111111111111,11519,18
2015-01-26,B,2,0.00017362618282837052,0.2,11519,10
2015-04-27,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2015-01-26,Q,2,0.00018700327255726976,0.2,10695,10
2015-04-27,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2015-01-26,R,2,0.00022696323195642307,0.2,8812,10
2015-04-26,R,2,0.00022696323195642307,0.05,8812,40
2013-04-26,R,2,0.00022696323195642307,0.08333333333333333,8812,24
2017-01-26,R,2,0.00022696323195642307,0.2222222222222222,8812,9
2017-01-26,X,2,0.0001303780964797914,0.2222222222222222,15340,9
2016-05-03,B,2,0.00017362618282837052,0.06666666666666667,11519,30
2013-01-25,Q,2,0.00018700327255726976,0.2857142857142857,10695,7
2017-05-11,B,2,0.00017362618282837052,0.06451612903225806,11519,31
2013-05-09,X,2,0.0001303780964797914,0.05405405405405406,15340,37
2015-05-07,B,2,0.00017362618282837052,0.06451612903225806,11519,31
2018-05-07,B,2,0.00017362618282837052,0.18181818181818182,11519,11
2018-05-08,B,2,0.00017362618282837052,0.08695652173913043,11519,23
2018-05-08,Q,2,0.00018700327255726976,0.08695652173913043,10695,23
2013-05-09,R,2,0.00022696323195642307,0.05405405405405406,8812,37
2015-01-23,B,2,0.00017362618282837052,0.13333333333333333,11519,15
2013-01-23,X,2,0.0001303780964797914,0.2,15340,10
2018-05-03,R,2,0.00022696323195642307,0.08333333333333333,8812,24
2013-01-23,R,2,0.00022696323195642307,0.2,8812,10
2018-05-09,Q,2,0.00018700327255726976,0.1111111111111111,10695,18
2013-05-10,R,2,0.00022696323195642307,0.06451612903225806,8812,31
2013-05-10,X,2,0.0001303780964797914,0.06451612903225806,15340,31
2018-05-10,Q,2,0.00018700327255726976,0.07142857142857142,10695,28
2018-05-10,R,2,0.00022696323195642307,0.07142857142857142,8812,28
2014-05-07,R,2,0.00022696323195642307,0.05405405405405406,8812,37
2014-05-07,B,2,0.00017362618282837052,0.05405405405405406,11519,37
2017-01-23,R,2,0.00022696323195642307,0.6666666666666666,8812,3
2019-01-23,M,2,6.948787436592315e-05,0.6666666666666666,28782,3
